subscriber_id,region,plan,onboarding_score,negative_ticket_pre_renewal,cancelled,total_spent,days_before_renewal_negative_ticket,cancellation_reason
S-10946,Northeast,Monthly Plus,35.3,True,True,1165.56,12.1,found alternative
S-10253,West,Monthly Plus,50.6,Yes,True,917.96,9.1,moving/relocating
S-10684,Northeast,Monthly Plus,50.9,Yes,No,$498.57,5.5,
S-13735,West,Monthly Essentials,43.8,False,1,188.03,,bad support experience
S-12219,Midwest,Quarterly Bundle,99.7,1,No,"$2,822.01",0.4,
S-13668,West,Quarterly Bundle,46.3,0,False,135.04,,
S-10287,Midwest,Monthly Plus,38.2,True,True,999.28,4.6,moving/relocating
S-16519,South,Quarterly Bundle,57.7,No,1,3334.30,,paused indefinitely
S-14254,South,Monthly Essentials,47.7,False,1,282.61,,shipping issues
S-11034,Northeast,Monthly Essentials,55.0,Yes,Yes,$482.03,3.3,paused indefinitely
S-12505,Northeast,Quarterly Bundle,94.0,Yes,0,"$2,898.13",5.9,
S-17071,Midwest,Quarterly Bundle,89.1,False,No,USD 1167.78,,
S-11424,South,Quarterly Bundle,67.8,Yes,No,1633.37,9.6,
S-14744,Northeast,Monthly Essentials,42.6,False,Yes,USD 79.66,,bad support experience
S-10033,West,Quarterly Bundle,44.0,1,1,2706.75,10.2,
S-12346,South,Quarterly Bundle,85.3,Yes,0,1656.01,3.4,
S-14217,Northeast,Quarterly Bundle,51.3,0,0,$435.11,,
S-14756,Midwest,Quarterly Bundle,52.2,False,No,969.00,,
S-17077,Midwest,Quarterly Bundle,90.0,No,Yes,USD 1729.81,,too expensive
S-14684,Midwest,Monthly Essentials,39.7,No,1,USD 619.35,,bad support experience
S-18333,Northeast,Monthly Essentials,93.6,False,No,280.74,,
S-13305,Midwest,Monthly Plus,49.1,No,No,1295.04,,
S-15322,Midwest,Quarterly Bundle,59.7,False,0,1341.52,,
S-12436,South,Monthly Essentials,75.3,True,False,USD 932.49,1.9,
S-12199,Midwest,Monthly Essentials,85.3,True,No,496.35,1.2,
S-12619,Northeast,Monthly Essentials,93.2,Yes,No,36.08,2.2,
S-11663,Midwest,Quarterly Bundle,62.8,Yes,False,"$2,092.91",7.6,
S-14500,Midwest,Monthly Plus,52.1,False,0,USD 170.36,,
S-11377,Midwest,Monthly Essentials,56.0,1,No,550.99,11.2,
S-12124,Northeast,Quarterly Bundle,68.1,True,True,2128.32,9.4,
S-12406,Midwest,Monthly Essentials,97.0,Yes,False,855.89,1.1,
S-12226,South,Monthly Essentials,85.2,True,False,USD 763.06,13.2,
S-15882,Northeast,Monthly Essentials,64.3,0,0,$438.22,,
S-15455,Midwest,Quarterly Bundle,57.0,0,No,789.88,,
S-10496,Midwest,Monthly Plus,45.5,True,False,1094.63,0.3,
S-16782,Midwest,Quarterly Bundle,83.2,No,No,805.41,,
S-12753,Northeast,Monthly Essentials,90.2,True,No,$636.19,5.0,
S-11293,Midwest,Monthly Essentials,61.8,True,True,$998.07,3.2,
S-12408,Northeast,Monthly Essentials,81.8,True,False,891.18,0.5,
S-14511,West,Monthly Plus,46.3,False,False,1134.12,,
S-12931,West,Monthly Essentials,79.0,Yes,Yes,$384.66,13.9,paused indefinitely
S-11915,South,Monthly Essentials,60.0,Yes,No,$312.61,12.1,
S-16214,Midwest,Monthly Essentials,60.4,False,False,$464.35,,
S-15162,South,Quarterly Bundle,71.9,False,No,2772.37,,
S-11486,South,Monthly Plus,57.2,True,True,$367.76,10.0,found alternative
S-15298,West,Monthly Plus,55.4,No,No,USD 959.93,,
S-18220,South,Monthly Essentials,90.4,0,0,748.69,,
S-13948,South,Quarterly Bundle,49.3,No,False,"$3,195.75",,
S-10241,South,Monthly Essentials,53.2,1,No,292.42,6.4,
S-17441,Northeast,Quarterly Bundle,98.5,False,0,USD 3339.86,,
S-14806,Midwest,Monthly Plus,48.3,0,No,$705.62,,
S-12487,Midwest,Monthly Essentials,85.6,True,False,794.13,10.1,
S-13268,South,Quarterly Bundle,52.0,0,No,2831.90,,
S-14482,Northeast,Monthly Essentials,39.7,False,No,USD 708.89,,
S-16426,Midwest,Monthly Essentials,72.6,No,0,$606.69,,
S-16119,Northeast,Monthly Plus,68.5,No,False,"$1,081.38",,
S-17145,South,Monthly Essentials,91.4,0,No,772.89,,
S-12053,South,Quarterly Bundle,70.6,Yes,False,1374.73,5.6,
S-15411,Northeast,Quarterly Bundle,61.0,No,No,1751.83,,
S-13044,South,Monthly Plus,97.2,Yes,False,$775.70,9.0,
S-16940,Northeast,Quarterly Bundle,98.9,No,False,2366.40,,
S-16523,Midwest,Monthly Plus,61.0,0,False,388.06,,
S-13909,Northeast,Quarterly Bundle,36.8,0,Yes,$321.11,,
S-17640,Northeast,Monthly Plus,75.2,False,False,1245.69,,
S-16186,West,Quarterly Bundle,63.5,No,0,USD 1483.48,,
S-17468,South,Monthly Plus,80.4,No,No,705.33,,
S-15163,South,Monthly Plus,63.0,0,False,USD 509.37,,
S-11540,West,Monthly Essentials,59.8,1,No,779.92,11.0,
S-17781,South,Monthly Plus,98.3,No,False,109.34,,
S-11271,West,Monthly Essentials,57.5,Yes,1,USD 77.25,11.0,
S-16241,Northeast,Monthly Essentials,70.5,0,No,$496.34,,
S-17611,South,Monthly Plus,95.3,No,No,1534.01,,
S-14957,South,Monthly Essentials,44.6,No,True,USD 160.75,,shipping issues
S-10833,Midwest,Monthly Plus,52.8,Yes,True,USD 189.32,6.2,shipping issues
S-14188,Midwest,Quarterly Bundle,46.3,False,No,1931.72,,
S-13320,West,Monthly Plus,50.6,0,False,373.92,,
S-15384,South,Monthly Essentials,67.0,False,False,446.35,,
S-13240,South,Quarterly Bundle,50.2,No,1,2783.36,,moving/relocating
S-10038,Midwest,Monthly Essentials,53.1,True,False,268.20,8.6,
S-14277,South,Quarterly Bundle,50.9,No,No,"$3,349.25",,
S-16123,Midwest,Monthly Essentials,66.4,No,False,$900.50,,
S-12410,West,Monthly Essentials,93.0,True,False,111.28,9.6,
S-10734,South,Monthly Essentials,53.2,1,False,229.30,6.7,
S-15677,West,Monthly Plus,66.8,False,No,167.53,,
S-15942,Midwest,Monthly Essentials,73.3,0,1,USD 285.72,,found alternative
S-10265,Midwest,Monthly Essentials,54.1,True,0,242.82,0.3,
S-11228,South,Quarterly Bundle,60.1,True,False,"$1,156.77",12.3,
S-14804,South,Monthly Plus,41.4,No,False,USD 342.46,,
S-11701,West,Monthly Essentials,74.0,Yes,False,USD 764.51,12.0,
S-12315,Midwest,Monthly Plus,94.5,Yes,True,$453.87,9.8,
S-10474,West,Quarterly Bundle,51.4,True,True,579.97,13.1,found alternative
S-16190,Northeast,Monthly Plus,66.3,No,Yes,189.60,,bad support experience
S-15554,Northeast,Monthly Essentials,59.1,False,False,220.97,,
S-11012,Northeast,Quarterly Bundle,39.6,Yes,Yes,1278.50,0.5,found alternative
S-12109,South,Monthly Plus,73.9,Yes,0,1082.14,2.2,
S-16653,South,Monthly Plus,74.7,False,False,1408.72,,
S-12741,South,Monthly Plus,93.9,True,No,316.49,8.1,
S-17871,South,Quarterly Bundle,95.6,No,No,3187.98,,
S-14166,West,Monthly Plus,36.8,No,0,$916.66,,
S-13063,West,Monthly Essentials,84.4,Yes,False,USD 387.54,9.7,
S-16365,West,Monthly Plus,58.6,0,No,USD 828.60,,
S-12418,South,Monthly Essentials,83.8,True,False,80.76,13.3,
S-13749,West,Quarterly Bundle,53.3,False,False,"$3,661.64",,
S-16273,Northeast,Quarterly Bundle,64.8,No,False,2218.32,,
S-11041,Northeast,Monthly Plus,38.7,Yes,True,$924.89,3.9,found alternative
S-16158,West,Monthly Plus,71.6,No,No,$54.00,,
S-13952,South,Monthly Plus,38.0,No,0,701.51,,
S-13353,South,Monthly Plus,51.3,No,No,"$1,151.91",,
S-12437,West,Monthly Plus,77.5,1,False,$266.52,11.9,
S-16218,South,Monthly Essentials,59.7,No,No,$802.51,,
S-17304,Northeast,Monthly Essentials,91.2,No,False,121.83,,
S-11126,Northeast,Monthly Essentials,64.8,True,Yes,841.59,13.5,shipping issues
S-14577,South,Monthly Plus,39.1,False,False,$965.51,,
S-17703,Northeast,Quarterly Bundle,95.8,No,False,"$2,034.17",,
S-17212,South,Quarterly Bundle,92.6,False,False,611.05,,
S-12007,Northeast,Monthly Essentials,63.0,True,Yes,212.98,13.2,no longer needed
S-10451,Northeast,Monthly Essentials,42.5,1,Yes,USD 778.10,5.7,shipping issues
S-13520,West,Monthly Essentials,41.9,False,No,691.90,,
S-15223,Northeast,Quarterly Bundle,56.7,No,No,"$2,110.30",,
S-10043,South,Monthly Plus,44.3,True,Yes,239.11,12.7,paused indefinitely
S-13763,South,Quarterly Bundle,40.1,0,No,2065.58,,
S-14272,West,Monthly Essentials,48.7,No,0,495.06,,
S-15819,South,Quarterly Bundle,66.6,No,0,860.70,,
S-14994,South,Quarterly Bundle,68.5,No,False,$644.11,,
S-16566,West,Monthly Essentials,74.4,False,0,USD 620.78,,
S-15608,West,Quarterly Bundle,65.9,No,0,USD 642.56,,
S-11560,Midwest,Quarterly Bundle,58.3,True,No,USD 3612.91,5.8,
S-14893,Northeast,Monthly Essentials,52.8,False,No,873.89,,
S-13962,West,Monthly Essentials,40.4,0,Yes,$517.86,,poor quality
S-17945,West,Monthly Plus,79.9,0,No,USD 916.50,,
S-15449,Midwest,Quarterly Bundle,67.7,False,No,1129.33,,
S-17960,West,Quarterly Bundle,79.5,No,No,USD 675.01,,
S-16496,Northeast,Quarterly Bundle,58.3,False,No,"$2,764.42",,
S-14389,Northeast,Monthly Plus,53.3,No,No,119.54,,
S-13336,Northeast,Monthly Plus,37.4,False,No,$687.36,,
S-13870,Midwest,Monthly Plus,49.8,No,Yes,"$1,102.38",,no longer needed
S-13796,Midwest,Quarterly Bundle,43.4,No,0,1240.32,,
S-13117,West,Monthly Essentials,90.2,Yes,0,201.64,7.7,
S-11790,Northeast,Quarterly Bundle,62.7,True,False,"$3,283.10",5.3,
S-15777,Northeast,Monthly Essentials,58.0,False,False,$488.88,,
S-15368,South,Monthly Plus,56.8,False,0,$753.53,,
S-17511,South,Monthly Essentials,92.4,No,False,USD 144.09,,
S-11904,South,Monthly Essentials,62.9,Yes,No,USD 446.51,0.7,
S-18323,West,Quarterly Bundle,79.5,False,False,USD 2367.12,,
S-15616,Midwest,Monthly Essentials,67.9,0,False,USD 393.64,,
S-12790,South,Monthly Essentials,94.6,Yes,False,874.66,13.8,
S-13631,Northeast,Monthly Essentials,51.4,No,0,$652.19,,
S-14651,Midwest,Quarterly Bundle,44.0,0,No,596.72,,
S-13678,West,Monthly Essentials,46.4,No,No,$668.07,,
S-17164,Midwest,Monthly Essentials,78.8,No,False,755.27,,
S-14373,West,Monthly Essentials,50.3,No,True,585.52,,found alternative
S-15800,Northeast,Monthly Essentials,72.2,False,No,353.58,,
S-17462,West,Monthly Essentials,92.4,No,No,$460.82,,
S-13144,Midwest,Quarterly Bundle,97.8,1,0,789.96,10.7,
S-15250,Northeast,Quarterly Bundle,56.0,0,False,USD 2467.69,,
S-10188,Midwest,Monthly Plus,43.3,Yes,False,798.46,3.1,
S-12748,Midwest,Monthly Plus,98.6,True,False,1319.81,1.9,
S-10013,Northeast,Monthly Plus,45.5,1,Yes,578.84,2.2,paused indefinitely
S-13864,Northeast,Quarterly Bundle,36.9,False,No,2499.57,,
S-10055,South,Monthly Essentials,37.9,True,0,USD 261.83,10.9,
S-14043,West,Monthly Plus,38.8,No,False,$634.93,,
S-16592,Northeast,Monthly Plus,69.6,No,False,123.81,,
S-14414,West,Monthly Essentials,44.1,0,0,USD 294.74,,
S-16373,South,Monthly Essentials,56.4,0,No,$392.31,,
S-16667,Midwest,Quarterly Bundle,55.8,False,False,855.60,,
S-17946,Midwest,Quarterly Bundle,79.8,No,No,USD 1594.57,,
S-13009,Midwest,Monthly Essentials,94.1,1,False,$537.48,3.9,
S-16555,Northeast,Monthly Plus,66.7,No,0,940.47,,
S-10060,South,Monthly Essentials,54.1,Yes,0,221.05,10.9,
S-10929,Midwest,Monthly Plus,51.5,True,Yes,1091.00,2.5,too expensive
S-11200,Midwest,Monthly Essentials,67.3,Yes,0,$525.25,10.2,
S-18382,South,Quarterly Bundle,90.6,False,No,"$2,857.39",,
S-14186,West,Monthly Plus,50.9,False,No,"$1,194.17",,
S-12903,Midwest,Monthly Plus,95.9,Yes,False,USD 508.62,5.0,
S-14617,South,Monthly Essentials,51.2,No,False,USD 163.51,,
S-16692,West,Quarterly Bundle,87.0,False,No,$547.38,,
S-14367,Northeast,Monthly Plus,54.2,No,0,"$1,039.75",,
S-14335,Northeast,Monthly Plus,38.9,No,False,709.17,,
S-15172,West,Monthly Essentials,59.2,0,0,251.91,,
S-13800,West,Monthly Plus,40.0,No,No,USD 1023.78,,
S-14876,Northeast,Quarterly Bundle,35.1,No,0,543.83,,
S-14076,West,Monthly Plus,38.5,No,False,$708.31,,
S-10791,Midwest,Quarterly Bundle,49.9,1,True,USD 3656.66,7.0,too expensive
S-12477,Northeast,Monthly Plus,98.7,Yes,No,"$1,325.13",12.9,
S-14404,West,Monthly Plus,43.0,False,True,56.07,,moving/relocating
S-10014,Midwest,Monthly Plus,46.1,Yes,1,$183.62,14.0,bad support experience
S-14830,Northeast,Monthly Plus,35.9,0,False,$651.29,,
S-14830,Northeast,Monthly Plus,35.9,0,False,$651.29,,
S-10064,South,Monthly Essentials,37.7,True,0,USD 633.81,9.3,
S-10674,Midwest,Monthly Plus,48.4,True,1,1294.27,13.2,too expensive
S-17176,Northeast,Monthly Plus,85.4,No,0,574.16,,
S-13824,Northeast,Monthly Plus,45.4,No,No,$432.28,,
S-16260,West,Monthly Plus,58.2,False,0,$361.97,,
S-17091,Midwest,Monthly Plus,93.6,0,False,54.18,,
S-13657,West,Monthly Essentials,42.3,False,No,318.73,,
S-15451,South,Quarterly Bundle,71.4,False,No,USD 677.85,,
S-11820,Midwest,Monthly Plus,73.6,Yes,True,USD 1405.39,4.1,too expensive
S-11990,South,Monthly Essentials,68.5,True,No,552.57,3.0,
S-15759,West,Monthly Essentials,70.9,No,No,964.36,,
S-17716,West,Monthly Essentials,83.6,No,No,USD 422.05,,
S-12027,Midwest,Monthly Plus,60.5,True,0,USD 1438.46,10.1,
S-16610,Midwest,Monthly Plus,69.4,No,No,817.30,,
S-16610,Midwest,Monthly Plus,69.4,No,No,817.30,,
S-13105,West,Monthly Plus,93.5,1,False,1198.55,11.6,
S-17514,Northeast,Monthly Essentials,90.3,False,0,264.13,,
S-11172,South,Monthly Plus,57.2,Yes,False,$243.01,10.5,
S-18051,Northeast,Quarterly Bundle,82.8,False,0,USD 1220.06,,
S-12260,Northeast,Quarterly Bundle,90.4,True,True,2449.66,2.6,poor quality
S-17823,Midwest,Monthly Essentials,82.1,No,1,248.16,,found alternative
S-17783,Northeast,Monthly Essentials,75.5,0,No,837.28,,
S-13471,South,Monthly Plus,51.5,No,No,705.97,,
S-14230,West,Quarterly Bundle,43.1,No,No,452.40,,
S-12737,West,Monthly Plus,81.7,Yes,Yes,"$1,248.43",6.2,poor quality
S-18297,South,Monthly Plus,90.6,False,No,298.57,,
S-10878,Midwest,Quarterly Bundle,44.7,1,0,$423.28,1.0,
S-15073,Northeast,Quarterly Bundle,64.5,No,False,2313.78,,
S-13039,Midwest,Monthly Plus,81.3,Yes,No,"$1,144.00",0.7,
S-10789,Midwest,Monthly Essentials,54.7,Yes,False,936.71,8.6,
S-14711,West,Monthly Essentials,36.2,No,False,870.48,,
S-16066,West,Quarterly Bundle,57.3,False,No,3091.57,,
S-14663,West,Monthly Plus,49.4,False,No,481.95,,
S-13031,West,Quarterly Bundle,81.6,True,Yes,773.10,11.7,bad support experience
S-15192,West,Monthly Essentials,71.4,False,False,267.71,,
S-11175,West,Monthly Plus,62.7,True,True,USD 1232.62,11.7,too expensive
S-11036,South,Monthly Essentials,36.5,True,True,$70.53,2.5,no longer needed
S-10990,West,Monthly Essentials,35.8,Yes,Yes,105.96,7.9,poor quality
S-17213,Northeast,Quarterly Bundle,84.0,0,False,552.33,,
S-16059,Midwest,Monthly Plus,58.6,No,0,496.37,,
S-11044,Midwest,Quarterly Bundle,43.0,True,0,"$2,719.70",4.8,
S-14932,Northeast,Monthly Plus,36.7,No,No,55.15,,
S-15637,Northeast,Monthly Plus,58.8,0,0,118.71,,
S-16811,Northeast,Monthly Plus,88.0,No,False,63.24,,
S-12449,West,Monthly Plus,76.3,1,No,USD 486.61,5.2,
S-11617,Midwest,Monthly Essentials,62.6,True,Yes,USD 145.86,13.8,too expensive
S-10589,South,Monthly Essentials,40.7,True,False,"$1,005.72",13.9,
S-17268,Northeast,Monthly Plus,82.5,0,No,$966.01,,
S-10573,South,Monthly Essentials,52.1,Yes,No,158.18,6.4,
S-13590,West,Monthly Essentials,36.9,False,No,380.47,,
S-15110,Midwest,Quarterly Bundle,60.7,No,1,USD 2947.62,,poor quality
S-12377,Midwest,Monthly Essentials,89.9,Yes,No,484.74,10.2,
S-17956,South,Quarterly Bundle,95.0,No,False,2343.42,,
S-16920,South,Quarterly Bundle,95.5,0,No,1614.83,,
S-10239,Midwest,Monthly Plus,43.2,Yes,False,727.61,0.6,
S-16927,South,Quarterly Bundle,91.5,No,True,$154.47,,shipping issues
S-14899,South,Monthly Essentials,51.8,No,False,36.82,,
S-11877,Midwest,Monthly Essentials,74.3,Yes,1,315.94,2.0,moving/relocating
S-17911,West,Monthly Essentials,94.1,No,False,385.48,,
S-11863,West,Monthly Plus,61.2,True,True,1529.93,13.4,no longer needed
S-17410,West,Quarterly Bundle,93.1,0,False,"$2,294.45",,
S-10768,West,Quarterly Bundle,43.3,Yes,True,403.07,4.7,found alternative
S-17388,Midwest,Monthly Plus,88.4,No,0,USD 1263.84,,
S-14503,Northeast,Quarterly Bundle,49.5,No,False,1102.73,,
S-18216,Northeast,Monthly Plus,81.5,0,No,623.12,,
S-17935,Northeast,Monthly Plus,90.8,0,False,630.61,,
S-11628,West,Quarterly Bundle,61.1,True,False,2886.13,5.7,
S-10552,West,Monthly Essentials,41.4,True,Yes,$363.17,11.9,found alternative
S-15356,Northeast,Monthly Essentials,69.5,0,False,$766.15,,
S-11730,South,Monthly Essentials,72.0,1,1,$789.82,7.1,paused indefinitely
S-11734,Midwest,Monthly Essentials,55.0,True,1,126.85,7.5,bad support experience
S-16144,Midwest,Quarterly Bundle,59.6,False,0,2584.93,,
S-12332,South,Quarterly Bundle,77.0,1,No,691.98,4.3,
S-18200,Midwest,Monthly Essentials,89.4,No,No,$814.90,,
S-10243,South,Monthly Essentials,38.2,True,True,637.75,6.9,shipping issues
S-15182,South,Quarterly Bundle,55.2,0,False,"$2,333.84",,
S-18307,Midwest,Quarterly Bundle,90.2,No,False,2045.10,,
S-13224,South,Monthly Essentials,88.1,Yes,No,USD 556.08,2.4,
S-12055,West,Quarterly Bundle,66.5,Yes,True,160.10,6.0,
S-13295,West,Quarterly Bundle,47.7,False,No,685.05,,
S-16452,West,Monthly Essentials,55.9,No,False,$771.10,,
S-14565,West,Monthly Plus,45.2,No,No,786.32,,
S-15237,Northeast,Monthly Essentials,55.3,False,No,USD 787.94,,
S-14293,West,Monthly Plus,37.6,No,No,191.31,,
S-11248,West,Quarterly Bundle,72.0,1,False,2690.08,1.4,
S-12922,Midwest,Quarterly Bundle,91.9,True,1,403.63,13.9,no longer needed
S-18134,West,Monthly Essentials,79.6,No,No,849.59,,
S-17006,Northeast,Quarterly Bundle,90.5,False,False,2231.56,,
S-14592,South,Monthly Plus,44.2,False,Yes,720.81,,poor quality
S-11247,Northeast,Monthly Essentials,63.1,True,True,409.40,13.5,no longer needed
S-13381,South,Monthly Essentials,44.4,No,False,435.20,,
S-15938,West,Quarterly Bundle,67.3,False,False,USD 717.69,,
S-10464,Midwest,Monthly Plus,54.1,True,Yes,311.39,10.6,too expensive
S-12843,West,Monthly Essentials,79.6,Yes,False,112.06,0.0,
S-12890,South,Quarterly Bundle,87.0,Yes,No,USD 2251.22,5.2,
S-10318,Northeast,Quarterly Bundle,53.5,Yes,True,USD 2898.59,12.8,found alternative
S-13421,West,Monthly Essentials,45.5,0,False,$487.78,,
S-12123,West,Quarterly Bundle,56.3,True,No,$159.46,3.6,
S-11401,Midwest,Monthly Essentials,66.0,Yes,Yes,$211.39,4.0,paused indefinitely
S-12856,Midwest,Monthly Plus,85.8,True,0,1003.02,9.3,
S-12381,Northeast,Quarterly Bundle,87.1,1,No,"$1,645.12",10.3,
S-11257,South,Monthly Plus,59.1,Yes,True,1118.00,0.0,shipping issues
S-15057,West,Quarterly Bundle,66.8,0,False,"$1,998.95",,
S-12158,Midwest,Quarterly Bundle,93.3,Yes,Yes,296.57,6.3,paused indefinitely
S-11285,Midwest,Monthly Essentials,58.4,True,True,724.03,10.9,bad support experience
S-18081,Northeast,Monthly Essentials,81.8,False,False,523.72,,
S-16637,Midwest,Monthly Essentials,55.4,False,No,$297.68,,
S-17877,West,Monthly Plus,99.9,False,0,1267.70,,
S-15649,West,Monthly Plus,62.4,0,No,USD 516.12,,
S-13350,South,Monthly Essentials,49.6,No,No,$801.03,,
S-15152,Northeast,Monthly Essentials,64.3,0,False,920.77,,
S-10058,Midwest,Monthly Plus,54.0,Yes,No,1505.97,13.7,
S-16676,Northeast,Monthly Essentials,57.4,No,No,$116.17,,
S-10886,West,Quarterly Bundle,42.0,Yes,Yes,$590.41,1.7,found alternative
S-18304,Midwest,Monthly Essentials,88.7,0,No,85.54,,
S-11150,South,Monthly Essentials,63.4,Yes,Yes,228.03,12.9,found alternative
S-12677,Northeast,Monthly Essentials,79.6,Yes,True,$694.90,12.2,no longer needed
S-15718,West,Quarterly Bundle,57.9,False,No,"$1,226.34",,
S-10593,Midwest,Quarterly Bundle,37.1,True,1,USD 1944.11,13.1,no longer needed
S-17711,Midwest,Monthly Plus,94.3,0,False,$250.24,,
S-13134,Midwest,Monthly Plus,90.6,True,No,567.56,11.5,
S-11209,Northeast,Quarterly Bundle,59.5,Yes,False,USD 1187.08,7.0,
S-14717,South,Monthly Essentials,48.5,No,No,695.91,,
S-13397,Midwest,Monthly Essentials,42.9,No,No,$749.03,,
S-12977,South,Monthly Essentials,88.8,True,True,$342.44,13.3,bad support experience
S-14971,West,Monthly Essentials,68.9,False,0,USD 844.66,,
S-15364,Northeast,Monthly Plus,66.3,False,False,672.47,,
S-17217,West,Monthly Plus,96.7,No,Yes,$943.38,,bad support experience
S-18236,Midwest,Monthly Essentials,99.9,No,No,$434.50,,
S-13534,Midwest,Monthly Plus,37.3,No,True,512.05,,shipping issues
S-13478,South,Monthly Essentials,36.8,0,False,$298.10,,
S-12194,Midwest,Monthly Essentials,96.3,1,False,42.83,10.6,
S-16297,South,Monthly Essentials,65.1,False,False,117.19,,
S-11959,Northeast,Monthly Plus,64.6,1,False,1143.74,7.3,
S-11968,Northeast,Monthly Essentials,69.1,Yes,No,124.54,3.2,
S-10140,Midwest,Monthly Plus,43.7,True,No,"$1,136.43",2.1,
S-17701,South,Quarterly Bundle,91.9,0,False,3089.04,,
S-17834,Midwest,Quarterly Bundle,85.3,No,No,USD 1042.12,,
S-13777,Northeast,Quarterly Bundle,35.3,0,No,USD 1488.57,,
S-14401,Midwest,Monthly Plus,44.0,0,False,1297.21,,
S-13257,Midwest,Monthly Plus,46.0,False,False,USD 1358.38,,
S-12770,South,Quarterly Bundle,92.7,Yes,True,1663.61,12.2,moving/relocating
S-10708,Northeast,Quarterly Bundle,44.2,True,1,"$2,432.10",6.2,bad support experience
S-17883,West,Monthly Essentials,76.5,False,False,554.54,,
S-17642,Northeast,Quarterly Bundle,83.0,False,False,$593.01,,
S-14259,South,Monthly Essentials,41.0,0,0,813.08,,
S-14259,South,Monthly Essentials,41.0,0,0,813.08,,
S-18349,Northeast,Monthly Plus,83.6,0,0,1463.43,,
S-10761,Northeast,Monthly Plus,40.7,1,No,269.05,9.5,
S-16722,West,Monthly Essentials,98.7,0,No,$555.02,,
S-11684,Northeast,Monthly Plus,70.9,Yes,1,"$1,118.27",13.0,found alternative
S-16239,West,Monthly Essentials,71.8,False,False,USD 191.83,,
S-17027,South,Monthly Plus,76.2,0,0,280.64,,
S-10382,Northeast,Quarterly Bundle,39.3,True,False,USD 3200.73,6.3,
S-14512,South,Quarterly Bundle,50.9,False,No,1645.06,,
S-16948,Midwest,Monthly Plus,76.7,False,No,266.78,,
S-10752,South,Monthly Plus,49.4,Yes,False,178.46,4.9,
S-16265,Midwest,Quarterly Bundle,69.4,False,No,$781.26,,
S-17190,South,Monthly Plus,93.8,No,0,$848.91,,
S-12160,West,Monthly Plus,93.0,1,False,"$1,377.15",8.6,
S-15769,Midwest,Monthly Plus,68.0,No,0,USD 770.58,,
S-17220,Northeast,Quarterly Bundle,92.2,No,False,"$2,113.57",,
S-14812,South,Monthly Essentials,51.8,No,True,286.25,,too expensive
S-15937,South,Quarterly Bundle,66.7,False,False,163.51,,
S-11841,Northeast,Monthly Essentials,72.9,True,No,863.09,12.6,
S-11887,Northeast,Monthly Plus,61.4,True,False,1026.33,12.0,
S-16379,Northeast,Monthly Plus,68.8,False,No,$835.71,,
S-16117,Midwest,Monthly Plus,72.1,0,False,475.13,,
S-10865,Midwest,Quarterly Bundle,43.4,True,False,USD 1979.88,10.0,
S-13566,Midwest,Monthly Essentials,39.2,False,False,$394.68,,
S-18117,Northeast,Monthly Plus,95.1,No,No,63.31,,
S-15756,Midwest,Quarterly Bundle,60.9,0,False,USD 607.10,,
S-17073,Midwest,Monthly Essentials,79.2,False,True,582.13,,too expensive
S-11357,South,Monthly Essentials,59.3,True,Yes,$352.47,6.1,shipping issues
S-16466,South,Quarterly Bundle,71.8,No,0,"$1,419.52",,
S-15899,Midwest,Monthly Essentials,62.7,No,0,291.49,,
S-15200,Northeast,Monthly Essentials,55.3,False,False,USD 181.75,,
S-11210,Midwest,Quarterly Bundle,59.7,Yes,False,"$3,853.36",3.6,
S-11132,South,Monthly Essentials,70.0,True,False,193.89,1.7,
S-14445,West,Quarterly Bundle,42.5,No,0,3214.80,,
S-14770,South,Monthly Plus,49.9,0,No,1105.03,,
S-17250,Northeast,Monthly Plus,89.6,0,No,122.58,,
S-16135,West,Quarterly Bundle,61.9,No,No,2726.45,,
S-17244,Northeast,Monthly Plus,88.0,No,False,USD 1293.64,,
S-10955,South,Monthly Essentials,52.8,Yes,True,84.25,2.5,shipping issues
S-17639,Northeast,Monthly Essentials,98.3,False,No,$631.88,,
S-14161,South,Monthly Essentials,49.8,No,False,$399.71,,
S-13869,Midwest,Quarterly Bundle,38.3,False,0,966.84,,
S-16673,Northeast,Quarterly Bundle,71.8,0,False,USD 2886.42,,
S-10086,Midwest,Monthly Essentials,54.6,True,False,515.64,8.6,
S-13234,South,Monthly Essentials,92.8,True,True,618.76,0.4,too expensive
S-14248,Midwest,Monthly Essentials,43.7,No,True,765.04,,poor quality
S-13262,South,Monthly Essentials,36.7,False,False,576.41,,
S-16217,Midwest,Quarterly Bundle,63.3,0,False,2773.85,,
S-10884,Northeast,Monthly Essentials,42.4,1,1,489.90,0.5,no longer needed
S-14046,Midwest,Monthly Plus,54.4,No,1,$323.49,,shipping issues
S-11595,Midwest,Quarterly Bundle,57.7,Yes,False,"$2,307.88",4.6,
S-10453,Midwest,Monthly Plus,40.8,Yes,No,USD 738.68,9.5,
S-13351,West,Quarterly Bundle,51.5,False,False,2343.89,,
S-12495,Northeast,Monthly Plus,88.7,Yes,0,690.20,12.7,
S-11504,West,Quarterly Bundle,63.7,True,0,"$2,957.11",6.2,
S-18018,South,Monthly Plus,97.8,False,No,668.66,,
S-15347,Midwest,Monthly Plus,57.4,0,False,$128.91,,
S-17854,Northeast,Quarterly Bundle,78.3,0,False,USD 2165.76,,
